VARIABLES="EVALUATION"    , "LIFT"          , "DRAG"          , "SIDEFORCE"     , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "EFFICIENCY"    , "TOTAL_HEATFLUX", "MAXIMUM_HEATFLUX", "INVERSE_DESIGN_LIFT_FIML", "INVERSE_DESIGN_PRESSURE_FIML", "INVERSE_DESIGN_LIFT", "INVERSE_DESIGN_DRAG", "INVERSE_DESIGN_DRAG_FIML", "ITERATION"     , "Res_Flow[0]"   , "Res_Flow[1]"   , "Res_Flow[2]"   , "Res_Flow[3]"   , "Res_Flow[4]"   , "Res_Turb[0]"   , "Loss"          , "Linear_Solver_Iterations", "CFL_Number"    , "TIME"          
          13              , 2.346574027     , 0.08002654422   , 0.0             , 0.0             , 0.0             , -0.76831631298  , -0.33188333094  , 2.319926022     , 0.0             , 118.8041975     , 0.0             , 0.0             , 0.0123169607336         , 0.0                         , 0.00354763983076   , 0.00351023814935   , 0.0122795590522         , 44990.0         , -13.8553134     , -13.5770779     , -13.9677499     , 0.0             , 0.0             , -16.4693288447  , 0.970786884775  , 12.0                    , 4.0             , 51.4731844346   
          14              , 2.334350836     , 0.08077401156   , 0.0             , 0.0             , 0.0             , -0.76593220017  , -0.3291986471   , 2.307995199     , 0.0             , 116.0290723     , 0.0             , 0.0             , 0.0112499521939         , 0.0                         , 0.00247552722827   , 0.00355039921323   , 0.0123248241789         , 44990.0         , -14.2548064     , -13.9491664     , -14.3331734     , 0.0             , 0.0             , -16.8980545413  , 0.970960282134  , 12.0                    , 4.0             , 52.592286098    
          15              , 2.340823902     , 0.08026631238   , 0.0             , 0.0             , 0.0             , -0.76756060303  , -0.33079756815  , 2.314271184     , 0.0             , 117.4328977     , 0.0             , 0.0             , 0.0118846472521         , 0.0                         , 0.00296174823467   , 0.00351516953218   , 0.0124380685496         , 44990.0         , -14.6112859     , -14.3801119     , -14.7710004     , 0.0             , 0.0             , -17.272979745   , 0.973200907259  , 12.0                    , 4.0             , 50.5812229315   
          16              , 2.338326958     , 0.08026718685   , 0.0             , 0.0             , 0.0             , -0.76742033546  , -0.33039102453  , 2.311802854     , 0.0             , 117.0491969     , 0.0             , 0.0             , 0.0120112417856         , 0.0                         , 0.00276282317364   , 0.00350926170813   , 0.0127576803201         , 44990.0         , -14.3852463     , -14.12579       , -14.519228      , 0.0             , 0.0             , -17.0119015397  , 0.977497920722  , 12.0                    , 4.0             , 49.7615845362   
          17              , 2.334881989     , 0.08057849215   , 0.0             , 0.0             , 0.0             , -0.76632605156  , -0.32946505909  , 2.308480726     , 0.0             , 116.3383449     , 0.0             , 0.0             , 0.0116175286347         , 0.0                         , 0.00253427896519   , 0.00353347082995   , 0.0126167204994         , 44990.0         , -14.5264291     , -14.1644884     , -14.5506525     , 0.0             , 0.0             , -17.0969827163  , 0.975309552322  , 12.0                    , 4.0             , 50.542680033    
          18              , 2.335463181     , 0.07870996421   , 0.0             , 0.0             , 0.0             , -0.77077968234  , -0.33083667625  , 2.30880158      , 0.0             , 120.0045593     , 0.0             , 0.0             , 0.0172477580345         , 0.0                         , 0.00325440808979   , 0.00338805475748   , 0.0173814047022         , 44990.0         , -15.2354145     , -14.8619221     , -15.2564358     , 0.0             , 0.0             , -17.816744689   , 1.00127408321   , 12.0                    , 4.0             , 53.3481719812   
          19              , 2.336244802     , 0.08043349684   , 0.0             , 0.0             , 0.0             , -0.76697248438  , -0.32994009159  , 2.309765866     , 0.0             , 116.4178562     , 0.0             , 0.0             , 0.0116773728776         , 0.0                         , 0.00254435280268   , 0.00351719003487   , 0.0126502101097         , 44990.0         , -14.1996899     , -13.8507399     , -14.2482276     , 0.0             , 0.0             , -16.751095443   , nan             , 12.0                    , 4.0             , 53.3342503349   
          20              , 2.34403589      , 0.08002436724   , 0.0             , 0.0             , 0.0             , -0.7682205194   , -0.33148334266  , 2.317415236     , 0.0             , 118.400269      , 0.0             , 0.0             , 0.0124481059569         , 0.0                         , 0.00332955029594   , 0.00350398367948   , 0.0126225393404         , 44990.0         , -14.6932078     , -14.3427436     , -14.7383765     , 0.0             , 0.0             , -17.2385387519  , 0.975186179101  , 12.0                    , 4.0             , 51.7832912644   
          21              , 2.33709037      , 0.08048763038   , 0.0             , 0.0             , 0.0             , -0.76666744812  , -0.32983520383  , 2.310665419     , 0.0             , 116.9686232     , 0.0             , 0.0             , 0.011856438737          , 0.0                         , 0.00277600866428   , 0.0035341529895    , 0.0126145830622         , 44990.0         , -14.8662976     , -14.5754786     , -14.968433      , 0.0             , 0.0             , -17.5279643437  , 0.974788774909  , 12.0                    , 4.0             , 50.6357746641   
          22              , 2.330305942     , 0.07986807996   , 0.0             , 0.0             , 0.0             , -0.76818681291  , -0.32937475961  , 2.303819258     , 0.0             , 116.6242167     , 0.0             , 0.0             , 0.0135396698973         , 0.0                         , 0.00229862474224   , 0.0034602139665    , 0.0147012591216         , 44990.0         , -13.3887421     , -13.1629576     , -13.5660496     , 0.0             , 0.0             , -16.0259884813  , 0.98808954898   , 12.0                    , 4.0             , 52.5015769998   
          23              , 2.372528001     , 0.08080175178   , 0.0             , 0.0             , 0.0             , -0.77021933881  , -0.33775622545  , 2.345235585     , 0.0             , 119.0341649     , 0.0             , 0.0             , 0.0146567210529         , 0.0                         , 0.0045397192764    , 0.00360170777458   , 0.0137187095511         , 44990.0         , -5.04247795     , -4.40858418     , -4.70304025     , 0.0             , 0.0             , -7.9504810927   , nan             , 11.0                    , 4.0             , 51.0489195148   
          24              , 2.337856744     , 0.08021407134   , 0.0             , 0.0             , 0.0             , -0.76742576599  , -0.3301827063   , 2.311378559     , 0.0             , 117.5457532     , 0.0             , 0.0             , 0.01248921443           , 0.0                         , 0.00291096031277   , 0.00351349374808   , 0.0130917478653         , 44990.0         , -14.4099738     , -14.0831754     , -14.4851251     , 0.0             , 0.0             , -14.1536792833  , 0.978344733824  , 12.0                    , 4.0             , 51.2199082653   
          25              , 2.335266203     , 0.08039206866   , 0.0             , 0.0             , 0.0             , -0.76711418236  , -0.32983107732  , 2.308789767     , 0.0             , 116.325402      , 0.0             , 0.0             , 0.0118444169515         , 0.0                         , 0.00248746441404   , 0.00351142718815   , 0.0128683797256         , 44990.0         , -13.815424      , -13.547019      , -13.9375374     , 0.0             , 0.0             , -16.432397175   , 0.976957637182  , 12.0                    , 4.0             , 50.2674005985   
